year,cid,eci,gini,xgini,gdppc
1964.0,irn,-0.631679177,49.78366,48.409558350467975,
1964.0,isr,1.134131312,35.44077,46.323794629763825,7050.0
1964.0,ita,1.841784954,,42.279201636989455,10900.0
1964.0,jam,-0.13176322,46.51365,46.81780490155845,
1964.0,jor,0.318929404,50.13872,47.18289967202238,
1964.0,jpn,1.950435758,35.98251,42.02432368286406,9900.0
1964.0,kaz,,,,
1964.0,ken,-0.797297657,51.82327,48.111808770229686,327.0
1964.0,khm,-0.7696973090000001,,46.63127710140576,
1964.0,kor,0.8688837890000001,43.18532,45.63806865295815,1670.0
1964.0,kwt,,,48.380222129946674,
1964.0,lao,-0.7231788640000001,,49.414821982671135,
1964.0,lbn,0.113226965,,47.14526923355803,
1964.0,lby,-1.663593411,52.74805,48.38425083540458,
1964.0,lka,-0.5292755960000001,,46.42950711271153,352.0
1964.0,ltu,,,,
1964.0,lva,,,,
1964.0,mar,0.103723526,,47.28503574809732,804.0
1964.0,mda,,,,
1964.0,mdg,-0.8794285059999999,,47.2653738558985,463.0
1964.0,mex,0.45570311,,46.328695090944755,3880.0
1964.0,mkd,,,,
1964.0,mmr,-0.697880387,,47.9813208677882,
1964.0,mng,-0.406796336,,44.210210354719756,
1964.0,moz,-0.986185431,,47.92695216895154,
1964.0,mrt,,,43.90383108406769,
1964.0,mus,,,47.75065280841362,
1964.0,mys,-0.582541883,,46.58707492743859,1120.0
1964.0,nam,,,,
1964.0,nga,-1.199649215,42.44101,48.156020163244044,611.0
1964.0,nic,-0.200141251,,48.10183614050172,1630.0
1964.0,nld,1.490311027,31.18425,42.15649872134063,15100.0
1964.0,nor,1.484113216,31.64445,42.01174445404207,20000.0
1964.0,nzl,0.602012277,33.92313,40.93722444941099,
1964.0,omn,,,48.36555736323985,
1964.0,pak,0.01736738,43.91497,48.33601089514179,257.0
1964.0,pan,1.100893378,45.27618,43.379282797535794,2210.0
1964.0,per,-0.386408478,,48.94757824182373,2290.0
1964.0,phl,-0.327269107,46.81871,46.612897229024604,748.0
1964.0,png,-0.781290829,48.41529,47.17844347777008,648.0
1964.0,pol,1.2647051809999998,,41.34185862667259,
1964.0,prk,0.147932649,,43.95824235734537,
1964.0,prt,1.193131328,43.40701,43.445006466412174,4620.0
1964.0,pry,-0.79424578,,45.69401662969672,617.0
1964.0,qat,,,48.37860414275346,
1964.0,rus,,,,
1964.0,sau,-0.6521734,,48.38100038720626,
1964.0,sdn,-1.402271152,,48.61989012627638,469.0
1964.0,sen,-0.525403738,,47.806368201761636,850.0
1964.0,sgp,0.562523663,45.53359,44.638885446291845,2700.0
1964.0,slv,0.6411175729999999,47.24553,48.313368809332026,
1964.0,srb,,,,
1964.0,svk,,,,
1964.0,svn,,,,
1964.0,swe,2.053878546,28.80131,39.430472414977864,18100.0
1964.0,syr,-0.060904901,46.93471,47.749736767011086,682.0
1964.0,tgo,-1.032112837,,49.010641003458566,362.0
1964.0,tha,-0.624080658,,46.92865929650289,
1964.0,tkm,,,,
1964.0,tto,,,47.177790184177006,
1964.0,tun,-0.093242288,48.70186,46.90233088050641,969.0
1964.0,tur,-0.519591272,45.57265,47.65676573296685,2620.0
1964.0,tza,-1.225967884,,48.36405939664911,
1964.0,ukr,,,,
1964.0,ury,0.402813703,,43.2934494597185,3110.0
1964.0,usa,1.801387787,35.38582,41.244997050732,17500.0
1964.0,uzb,,,,
1964.0,ven,-0.11615368,,48.32876787772736,6630.0
1964.0,vnm,-0.255833358,,45.78439593538776,
1964.0,wld,0.682761073,,,3480.0
1964.0,yem,,,,
1964.0,zaf,-0.1402639,42.89297,44.76946447501775,3890.0
1964.0,zmb,-0.471718252,49.00662,47.272267459812184,959.0
1964.0,zwe,,45.6869,45.85104999941402,
1965.0,ago,-1.151719093,,48.18304449828891,
1965.0,alb,-0.122296646,,45.757550216533105,
1965.0,are,,,,
1965.0,arg,-0.014644949,,43.722616594087285,3420.0
1965.0,aus,0.661051869,31.07145,42.468458520498096,15100.0
